SN,Gender,AGE,Recency_Service,Recency_Product,Bill_Service,Bill_Product,Review,Success
549,1,<=30,1,8,17.34,2.28,I felt very comfortable.,1
559,1,<=45,6,15,5.02,0.38,The follow-up care and support were outstanding.,1
568,1,<=55,10,0,9.7,1.72,It was quite good.,1
573,2,<=30,6,8,19.92,6.34,,1
574,2,<=30,0,1,33.8,3.43,I highly recommend this clinic to anyone looking for quality skincare.,1
578,2,<=55,26,13,26.96,15.33,,1
584,2,<=55,5,10,8.09,1.48,My rating is high.,1
591,1,<=45,5,3,16.69,8.92,One of the better clinic in nearby area.,1
601,1,<=30,7,5,20.63,1.51,,1
607,2,<=30,0,2,16.48,1.55,Worth to recommend,1
610,2,<=45,15,2,24.83,4.43,,1
613,1,<=55,5,15,20.02,1.9,"It has imprived since last one yaer, so good one.",1
614,1,<=30,1,2,18.9,0.99,,1
616,1,<=30,3,4,11.94,0.54,I highly recommend this clinic to anyone looking for quality skincare.,1
617,2,<=45,12,5,26.01,8,,1
619,2,<=45,9,4,13.89,2.05,Not sure who owns this but quite bad.,1
620,2,<=30,0,0,13.38,1.93,nice and clean ,1
622,2,<=30,0,0,9.31,0.42,,1
638,2,<=45,6,10,12.35,2.35,The professionals at the clinic are very good.,1
641,2,<=30,0,0,8.34,0.41,,1
644,2,<=55,0,27,29.13,2.94,It has been good experiene. Improving.,1
649,1,<=30,3,4,25.85,6.56,I felt very good.,1
653,2,<=30,0,3,7.15,0.8,No way going again.,1
657,1,<=45,1,14,16.7,3.32,It was satisfactory quality of products purchased.,1
666,2,<=30,4,2,14.62,0.46,Good staff and quality service.,1
670,1,<=55,14,14,25.88,3.3,The support on phone was quite good,1
677,2,<=30,0,8,12.94,1.45,Cost can be so high.,1
682,1,<=30,3,3,29.64,3.56,Quite good for sure,1
